post_id,description,color,category,style,occasion,keywords
459,a t-shirt is a garment that is worn by a person to wear a particular style of clothing,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
460,a sweater is a garment that is worn over a shirt or blouse,,"sweater, blouse, shirt",casual,casual outing,"sweater, blouse, shirt, casual, casual-outing, winter"
461,a dress is a dress that is worn by a person,,"dress, hat",elegant,party,"dress, hat, elegant, party"
462,a model in a black dress with a black jacket and black boots,black,"jacket, dress, boots",elegant,party,"black, jacket, dress, boots, elegant, party"
463,a woman in a blue dress with a blue jacket and a blue scarf,blue,"jacket, dress, scarf",elegant,party,"blue, jacket, dress, scarf, elegant, party"
464,a woman in a red dress with a black jacket and a pair of black boots,"black, red","jacket, dress, boots",elegant,party,"black, red, jacket, dress, boots, elegant"
465,a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
466,a woman in a dress with a pair of yellow boots,yellow,"dress, boots",elegant,party,"yellow, dress, boots, elegant, party, winter"
467,a pair of jeans with a pair of boots,,"jeans, boots",casual,casual outing,"jeans, boots, casual, casual-outing, winter"
468,a woman in a white dress with a black hat and a black jacket,"black, white","jacket, dress, hat",elegant,party,"black, white, jacket, dress, hat, elegant"
469,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
470,a shirt is a garment that is worn by a person,,"shirt, hat",casual,casual outing,"shirt, hat, casual, casual-outing"
471,"a fashion item is a piece of clothing, jewelry, or accessories that is worn by a person",,"jewelry, hat",casual,casual outing,"jewelry, hat, casual, casual-outing"
472,a fashion item is a piece of clothing or clothing that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
473,a fashion item is a piece of clothing that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
474,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
475,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
476,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
477,a fashion item is a piece of clothing that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
478,a t-shirt with a t-shirt and a t-shirt,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing"
479,a white dress with a white top and a white skirt,white,"dress, skirt, top",elegant,party,"white, dress, skirt, top, elegant, party"
480,a t-shirt is a garment that is worn by a person to represent their identity,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
481,a black dress with green ruffles and a slit,"black, green",dress,romantic,casual outing,"black, green, dress, romantic, casual-outing"
482,a t-shirt is a garment that is worn by a person to wear a particular style of clothing,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
483,a dress is a dress that is worn by a person,,"dress, hat",elegant,party,"dress, hat, elegant, party"
484,a lace dress is a dress that is made of fabric that is lace,,"dress, hat",elegant,party,"dress, hat, elegant, party, lace"
485,a woman in a pink dress with a pink jacket and pink boots,pink,"jacket, dress, boots",elegant,party,"pink, jacket, dress, boots, elegant, party"
486,a woman in a black dress with a black jacket and black pants,black,"jacket, dress, pants",business,work,"black, jacket, dress, pants, business, work"
487,a t-shirt with a polo shirt and a tie,,"t-shirt, shirt, tie",casual,casual outing,"t-shirt, shirt, tie, casual, casual-outing"
488,a tuxedo is a formal dress worn by a man in a formal setting,,dress,formal,party,"dress, formal, party"
489,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
490,a sleeveless dress with a sleeveless dress,,dress,elegant,party,"dress, elegant, party, summer"
491,a red dress is a dress that is red in color,red,"dress, hat",elegant,party,"red, dress, hat, elegant, party"
492,a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
493,a hat is a hat that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
494,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
495,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
496,a hat is a piece of clothing worn by a person to cover their head,,hat,casual,casual outing,"hat, casual, casual-outing"
497,a hat with a flower on it,,hat,casual,casual outing,"hat, casual, casual-outing"
498,a sweater is a garment that is worn by a woman,,"sweater, hat",casual,casual outing,"sweater, hat, casual, casual-outing, winter"
499,a shirt is a garment that is worn by a person,,"shirt, hat",casual,casual outing,"shirt, hat, casual, casual-outing"
500,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
501,a man in a blue jacket and a white shirt,"blue, white","jacket, shirt",casual,casual outing,"blue, white, jacket, shirt, casual, casual-outing"
502,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
503,a sweater is a garment that is worn by a person to wear a particular style of clothing,,"sweater, hat",casual,casual outing,"sweater, hat, casual, casual-outing, winter"
504,a shirt,,shirt,casual,casual outing,"shirt, casual, casual-outing"
505,a black leather jacket with a white shirt and a pair of jeans,"black, white","jacket, shirt, jeans",casual,casual outing,"black, white, jacket, shirt, jeans, casual"
506,a tweed jacket with a belt,,"jacket, belt",casual,casual outing,"jacket, belt, casual, casual-outing"
507,a blue polka dot dress with a slit and a slit,blue,dress,vintage,casual outing,"blue, dress, vintage, casual-outing, polka-dot, polka"
508,"a striped shirt is a garment that is a striped shirt, but it can be a shirt of any color or pattern",,"shirt, hat",casual,casual outing,"shirt, hat, casual, casual-outing, striped"
509,a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
510,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
511,a white striped shirt with a white striped shirt and white pants,white,"shirt, pants",business,work,"white, shirt, pants, business, work, striped"
512,a kimono - a kimono is a garment that is worn by a woman,,hat,casual,casual outing,"hat, casual, casual-outing"
513,"a fashion item is a piece of clothing, jewelry, or accessories that are worn by a person",,"jewelry, hat",casual,casual outing,"jewelry, hat, casual, casual-outing"
514,a model wears a blue dress with a blue jacket and blue shoes,blue,"jacket, dress, shoes",elegant,party,"blue, jacket, dress, shoes, elegant, party"
515,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
516,a polka dot dress with a polka dot skirt and a polka dot top,,"dress, skirt, top",vintage,casual outing,"dress, skirt, top, vintage, casual-outing, polka-dot"
517,a striped dress with a striped top and a striped skirt,,"dress, skirt, top",elegant,party,"dress, skirt, top, elegant, party, striped"
518,a shirt,,shirt,casual,casual outing,"shirt, casual, casual-outing"
519,a fashion item is a piece of clothing or other clothing that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
520,a hat is a piece of clothing worn by a person to wear a hat,,hat,casual,casual outing,"hat, casual, casual-outing"
521,a sleeveless dress is a garment that is worn over the top of a dress,,"dress, top, hat",elegant,party,"dress, top, hat, elegant, party, summer"
522,a lilac dress with a lace bodice and a tulle skirt,purple,"dress, skirt",elegant,party,"purple, dress, skirt, elegant, party, lace"
523,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
524,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
525,a t-shirt is a garment that is worn by a person to represent their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
526,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
527,a hat is a fashion accessory that can be worn by a person or a group of people,,hat,casual,casual outing,"hat, casual, casual-outing"
528,a woman in a red dress with a white shirt and a pair of black boots,"red, white","shirt, dress, boots",elegant,party,"red, white, shirt, dress, boots, elegant"
529,a dress is a garment worn by a woman to dress in a particular style,,dress,elegant,party,"dress, elegant, party"
530,a tweed jacket with a tweed jacket,,jacket,casual,casual outing,"jacket, casual, casual-outing"
531,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
532,a blazer jacket is a jacket that is worn over a shirt or a shirt and a jacket,,"jacket, blazer, shirt",business,work,"jacket, blazer, shirt, business, work"
533,a sweater is a garment that is worn over a shirt or blouse,,"sweater, blouse, shirt",casual,casual outing,"sweater, blouse, shirt, casual, casual-outing, winter"
534,a pair of jeans and a shirt,,"shirt, jeans",casual,casual outing,"shirt, jeans, casual, casual-outing"
535,a pair of jeans with a tee shirt and a pair of jeans,,"shirt, jeans, t-shirt",casual,casual outing,"shirt, jeans, t-shirt, casual, casual-outing"
536,"a hat is a fashion accessory that can be worn with a shirt, a jacket, or a scarf",,"jacket, shirt, scarf",casual,casual outing,"jacket, shirt, scarf, casual, casual-outing, winter"
537,a hat is a fashion accessory that can be worn by women or men,,hat,casual,casual outing,"hat, casual, casual-outing"
538,a fashion item is a piece of clothing or clothing that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
539,a t-shirt is a garment that is worn by a person to express their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
540,a black dress with a slit,black,dress,elegant,party,"black, dress, elegant, party"
541,a black dress is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is,black,"dress, hat",elegant,party,"black, dress, hat, elegant, party"
542,a t-shirt with a t-shirt and a t-shirt,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing"
543,a t-shirt is a garment that is worn by a person to express their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
544,a hat is a fashion accessory that can be worn by a person or a group of people,,hat,casual,casual outing,"hat, casual, casual-outing"
545,"a slender, curved, slender, curved, slender, curved, slender, curved, slender, curved, slender, curved, slender, curved, slender, curved, slender, curved, slender, curved, slender, curved, curved, curved, curved, ",,,casual,casual outing,"casual, casual-outing, curved, slender"
546,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
547,a t-shirt is a garment that is worn by a person to represent their identity,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
548,"a scarf is a piece of fabric that is worn around the neck, around the neck, or around the neck",,"scarf, hat",casual,casual outing,"scarf, hat, casual, casual-outing, winter, neck"
549,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
550,a pair of jeans is a fashion item that is worn by many people,,"jeans, hat",casual,casual outing,"jeans, hat, casual, casual-outing"
551,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
552,a pair of pink pants with a pink sweater and a pink bag,pink,"sweater, pants, bag",business,work,"pink, sweater, pants, bag, business, work"
553,a hat is a fashion accessory that is worn by a person to make a statement,,hat,casual,casual outing,"hat, casual, casual-outing"
554,a t-shirt is a garment that is worn by a person,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
555,a dress is a garment worn by women,,dress,elegant,party,"dress, elegant, party"
556,a hat is a fashion accessory that can be worn by a person to create a style or look,,hat,casual,casual outing,"hat, casual, casual-outing"
557,a dress with a hat and a hat,,"dress, hat",elegant,party,"dress, hat, elegant, party"
558,a pair of skateboards with a pair of skateboards and a pair of skateboards,,,casual,casual outing,"casual, casual-outing, pair, skateboards"
559,a dress with a sleeveless top and a sleeveless top,,"dress, top",elegant,party,"dress, top, elegant, party, summer"
560,a yellow dress with a black hat,"yellow, black","dress, hat",elegant,party,"yellow, black, dress, hat, elegant, party"
561,a tee shirt is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a,,"shirt, t-shirt, hat",casual,casual outing,"shirt, t-shirt, hat, casual, casual-outing"
562,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
563,a striped dress with a striped top and a striped skirt,,"dress, skirt, top",elegant,party,"dress, skirt, top, elegant, party, striped"
564,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
565,a tuxedo is a formal attire worn by men and women,,,formal,casual outing,"formal, casual-outing, tuxedo, attire, worn, men"
566,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
567,a dress with a sleeveless top and a skirt,,"dress, skirt, top",elegant,party,"dress, skirt, top, elegant, party, summer"
568,a pair of shorts with a pair of heels,,"shorts, heels",casual,casual outing,"shorts, heels, casual, casual-outing, summer"
569,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
570,a t-shirt is a garment that is worn by a person,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
571,a hat is a fashion accessory that can be worn with a hat or a hat,,hat,casual,casual outing,"hat, casual, casual-outing"
572,a hat is a piece of clothing worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
573,a t-shirt with a t-shirt and a pair of jeans,,"t-shirt, shirt, jeans",casual,casual outing,"t-shirt, shirt, jeans, casual, casual-outing"
574,a sleeveless dress with a slit in the front,,dress,elegant,party,"dress, elegant, party, summer"
575,a pair of thigh-high boots with a pair of thigh-high boots,,boots,casual,casual outing,"boots, casual, casual-outing, winter, high"
576,a man in a suit and tie with a hat and a shirt,,"shirt, hat, tie",formal,casual outing,"shirt, hat, tie, formal, casual-outing"
577,a dress with a slit,,dress,elegant,party,"dress, elegant, party"
578,"a fashion item is a piece of clothing, jewelry, or other accessory that is worn by a person",,"jewelry, hat",casual,casual outing,"jewelry, hat, casual, casual-outing"
579,prada sassy prada sassy prada sassy prada sassy prada sassy prada sassy prada sassy prada sassy prada sassy prada sassy prada sassy ,,,casual,casual outing,"casual, casual-outing, prada, sassy"
580,a black and white photograph of a woman in a black dress,"black, white",dress,elegant,party,"black, white, dress, elegant, party"
581,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
582,a red dress with a white blouse and a pair of black boots,"red, white","blouse, dress, boots",elegant,party,"red, white, blouse, dress, boots, elegant"
583,a t-shirt with a polo shirt and a pair of jeans,,"t-shirt, shirt, jeans",casual,casual outing,"t-shirt, shirt, jeans, casual, casual-outing"
584,a black suit is a formal suit that is worn by a man,black,hat,formal,casual outing,"black, hat, formal, casual-outing"
585,a woman in a dress with a hat and a wig,,"dress, hat",elegant,party,"dress, hat, elegant, party"
586,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
587,a white dress with a white top and a white skirt,white,"dress, skirt, top",elegant,party,"white, dress, skirt, top, elegant, party"
588,"a fashion item is a piece of clothing, jewelry, or accessories that is worn by a person",,"jewelry, hat",casual,casual outing,"jewelry, hat, casual, casual-outing"
589,a fashion item is a piece of clothing that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
590,a fashion item is a garment that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
591,a fashion item is a piece of clothing or other clothing that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
592,a fashion item is a piece of clothing that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
593,a model in a white dress with a white blouse and white skirt,white,"blouse, dress, skirt",elegant,party,"white, blouse, dress, skirt, elegant, party"
594,a woman is standing in front of a window in a clothing store,,,casual,casual outing,"casual, casual-outing, woman, standing, front, window"
595,a fashion item is a garment that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
596,a fashion item is a piece of clothing that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
597,a shirt,,shirt,casual,casual outing,"shirt, casual, casual-outing"
598,"a fashion item is a piece of clothing, accessories, or accessories that are worn by a person",,hat,casual,casual outing,"hat, casual, casual-outing"
599,a model wears a green dress with a green hat and green wig,green,"dress, hat",elegant,party,"green, dress, hat, elegant, party"
600,a black jacket with a white hood and a white hood,"white, black",jacket,casual,casual outing,"white, black, jacket, casual, casual-outing"
601,a hat with a hatband and a hatband,,hat,casual,casual outing,"hat, casual, casual-outing"
602,a pair of white shoes with a black leather heel,"white, black",shoes,edgy,casual outing,"white, black, shoes, edgy, casual-outing, autumn"
603,a tan jacket with a tan collar and a tan collar,beige,jacket,casual,casual outing,"beige, jacket, casual, casual-outing"
604,a fashion item is a piece of clothing that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
605,"a fashion item is a piece of clothing, accessory, or accessory that is worn by a person",,hat,casual,casual outing,"hat, casual, casual-outing"
606,a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
607,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
608,a jacket is a jacket that is worn over a shirt or blouse,,"blouse, jacket, shirt",casual,casual outing,"blouse, jacket, shirt, casual, casual-outing"
609,a hat is a piece of clothing worn by a person to wear a hat,,hat,casual,casual outing,"hat, casual, casual-outing"
610,a wedding invitation is a formal invitation that is used to announce a wedding,,hat,formal,wedding,"hat, formal, wedding"
611,a woman in a dress with a hat and a scarf,,"dress, scarf, hat",elegant,party,"dress, scarf, hat, elegant, party, winter"
612,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
613,a black leather jacket with a hood,black,jacket,edgy,casual outing,"black, jacket, edgy, casual-outing, autumn, leather"
614,a model wears a gold necklace with a gold chain and a gold chain,yellow,jewelry,elegant,casual outing,"yellow, jewelry, elegant, casual-outing"
615,a hat is a fashion accessory that can be worn to enhance the look of a person's outfit,,hat,casual,casual outing,"hat, casual, casual-outing"
616,a hat is a fashion accessory that can be worn with a wide variety of outfits,,hat,casual,casual outing,"hat, casual, casual-outing"
617,a red dress is a red dress,red,dress,elegant,party,"red, dress, elegant, party"
618,"a hat is a head piece worn on the head, a hat is a head piece worn on the head, a hat is a head piece worn on the head, a hat is a head piece worn on the head, a hat is a head piece worn on the head, a hat is a head piece worn on the head, a hat is a head piece worn on the head, a",,hat,casual,casual outing,"hat, casual, casual-outing"
619,a bag is a fashion accessory that can be worn by a woman or a man,,"bag, hat",casual,casual outing,"bag, hat, casual, casual-outing"
620,a hat is a fashion accessory that can be worn with a hat or a hat with a hat,,hat,casual,casual outing,"hat, casual, casual-outing"
621,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
622,a white shirt with a striped pattern and a striped blazer,white,"blazer, shirt",business,work,"white, blazer, shirt, business, work, striped"
623,a dress is a garment worn by women,,dress,elegant,party,"dress, elegant, party"
624,a t-shirt is a garment worn by a person to represent their identity,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing"
625,a hat is a fashion accessory that can be worn with a hat or a hat with a hat,,hat,casual,casual outing,"hat, casual, casual-outing"
626,a hat is a fashion accessory that can be worn by a person to look stylish,,hat,casual,casual outing,"hat, casual, casual-outing"
627,a turban is a garment worn by african people,,,casual,casual outing,"casual, casual-outing, turban, garment, worn, african"
628,a woman wearing a sari with a turban and a turban hat,,hat,casual,casual outing,"hat, casual, casual-outing"
629,a hat is a head covering that covers the face and neck,,hat,casual,casual outing,"hat, casual, casual-outing, neck"
630,a t-shirt is a garment that is worn by a person to wear a particular outfit,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
631,a man in a suit and tie stands in front of a patterned fabric,,tie,formal,casual outing,"tie, formal, casual-outing"
632,a t-shirt with a sleeveless collar and a sleeveless collar,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing, summer"
633,a sarong is a garment worn by women in africa,,,casual,casual outing,"casual, casual-outing, sarong, garment, worn, women"
634,a t-shirt with a t-shirt on it,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing"
635,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
636,a tuxedo is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is ,,hat,formal,casual outing,"hat, formal, casual-outing"
637,a dress is a dress that is worn by a person for a special occasion,,"dress, hat",elegant,party,"dress, hat, elegant, party"
638,a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
639,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
640,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
641,a pair of sneakers with a red and white stripe on the side,"red, white",sneakers,streetwear,casual outing,"red, white, sneakers, streetwear, casual-outing"
642,a white shirt with a white jacket and white pants,white,"jacket, shirt, pants",business,work,"white, jacket, shirt, pants, business, work"
643,a dress is a dress that is worn by a person for a special occasion,,"dress, hat",elegant,party,"dress, hat, elegant, party"
644,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
645,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
646,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
647,a fashion item is a piece of clothing or clothing that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
648,a model in a red dress with a red bag,red,"dress, bag",elegant,party,"red, dress, bag, elegant, party"
649,a pair of jeans is a fashion item that is a fashion item,,"jeans, hat",casual,casual outing,"jeans, hat, casual, casual-outing"
650,a teddy bear is a fashion item that is a fashion item,,hat,casual,casual outing,"hat, casual, casual-outing"
651,a pair of jeans and a t-shirt,,"t-shirt, shirt, jeans",casual,casual outing,"t-shirt, shirt, jeans, casual, casual-outing"
652,a fashion item is a piece of clothing that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
653,a lace dress with a lace skirt and a lace top,,"dress, skirt, top",elegant,party,"dress, skirt, top, elegant, party, lace"
654,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
655,a hat is a hat that is worn by a person to protect their face from the sun,,hat,casual,casual outing,"hat, casual, casual-outing"
656,a hat is a fashion accessory that can be worn by a person or a group of people,,hat,casual,casual outing,"hat, casual, casual-outing"
657,a woman in a dress with a hat and a hat,,"dress, hat",elegant,party,"dress, hat, elegant, party"
658,a t-shirt is a garment that is worn by a person to represent their identity,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
659,a shirt is a piece of clothing worn by a person,,shirt,casual,casual outing,"shirt, casual, casual-outing"
660,a t-shirt is a garment that is worn by a person to show off their body,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing, off"
661,a dress is a dress that is worn by a woman to wear a dress,,"dress, hat",elegant,party,"dress, hat, elegant, party"
662,a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
663,a hat is a hat that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
664,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
665,a fashion item is a piece of clothing or clothing that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
666,a t-shirt is a garment that is worn by a person,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
667,a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
668,a bikini is a swimsuit that is worn by women,,hat,formal,beach,"hat, formal, beach"
669,a model wearing a pair of sunglasses,,sunglasses,casual,casual outing,"sunglasses, casual, casual-outing"
670,a bag is a bag that is used to carry a bag or other item,,"bag, hat",casual,casual outing,"bag, hat, casual, casual-outing"
671,a striped shirt with a striped shirt and a striped shirt,,shirt,casual,casual outing,"shirt, casual, casual-outing, striped"
672,a t-shirt is a garment that is worn by a person,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
673,a hat is a piece of clothing worn by a person to cover their head,,hat,casual,casual outing,"hat, casual, casual-outing"
674,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
675,a tweed jacket is a jacket that is made of a fabric that is a tweed jacket,,"jacket, hat",casual,casual outing,"jacket, hat, casual, casual-outing"
676,"a dress is a dress, a dress is a dress, a dress is a dress, a dress is a dress, a dress is a dress, a dress is a dress, a dress is a dress, a dress is a dress, a dress is a dress, a dress is a dress, a dress is a dress, a dress is a dress, a dress is",,dress,elegant,party,"dress, elegant, party"
677,a hat is a fashion accessory that can be worn to create a look,,hat,casual,casual outing,"hat, casual, casual-outing"
678,a hat is a fashion accessory that can be worn with a hat or a hat,,hat,casual,casual outing,"hat, casual, casual-outing"
679,"a fashion item is a piece of clothing, accessory, or accessory that is worn by a person",,hat,casual,casual outing,"hat, casual, casual-outing"
680,a hat is a fashion accessory that can be worn to create a style statement,,hat,casual,casual outing,"hat, casual, casual-outing"
681,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
682,a pair of black sneakers with a white logo on the side,"black, white",sneakers,streetwear,casual outing,"black, white, sneakers, streetwear, casual-outing"
683,a t-shirt is a garment that is worn by a person,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
684,a hat is a fashion accessory that can be worn to create a style statement,,hat,casual,casual outing,"hat, casual, casual-outing"
685,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
686,a tuxedo is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is ,,hat,formal,casual outing,"hat, formal, casual-outing"
687,a pair of tuxedos a pair of tuxedos a pair of tuxedos a pair of tuxedos a pair of tuxedos a pair of tuxedos a pair of tuxedos a pair of tuxedos a pair of tuxedos ,,,formal,casual outing,"formal, casual-outing, pair, tuxedos"
688,a black dress with a slit,black,dress,elegant,party,"black, dress, elegant, party"
689,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
690,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
691,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
692,a tiger print dress with a tiger print top and a tiger print skirt,,"dress, skirt, top",elegant,party,"dress, skirt, top, elegant, party, print"
693,a hat is a piece of clothing worn by a person to create a style of clothing,,hat,casual,casual outing,"hat, casual, casual-outing"
694,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
695,a t-shirt is a piece of clothing worn by a person,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing"
696,a t-shirt with a t-shirt and a t-shirt,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing"
697,a striped polka dot bag,,bag,vintage,casual outing,"bag, vintage, casual-outing, polka-dot, striped, polka"
698,a mannequin is a fashion item that is a fashion item,,hat,casual,casual outing,"hat, casual, casual-outing"
699,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
700,a ruffled dress with a ruffled skirt and a ruffled top,,"dress, skirt, top",romantic,casual outing,"dress, skirt, top, romantic, casual-outing"
701,a yellow coat with a black hat and a black jacket,"black, yellow","jacket, coat, hat",casual,casual outing,"black, yellow, jacket, coat, hat, casual"
702,a sleeveless dress is a garment that is worn in the fashion industry,,"dress, hat",elegant,party,"dress, hat, elegant, party, summer"
703,a black dress with a black skirt and black jacket,black,"jacket, dress, skirt",elegant,party,"black, jacket, dress, skirt, elegant, party"
704,a tweed jacket with a hood,,jacket,casual,casual outing,"jacket, casual, casual-outing"
705,a gold house celebrates april with a celebration of april heritage month,yellow,,casual,casual outing,"yellow, casual, casual-outing"
706,a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
707,a t-shirt is a garment that is worn by a person,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
